Date,Asset,Amount,Price per unit (EUR),Value (EUR),Transaction Type,Label
2023-01-09 01:00,GAL,0.00,0.00,0.00,Receive,Reward
2023-01-09 01:00,USDT,0.02,0.94,0.02,Receive,Reward
2023-01-09 01:00,DOT,0.00,4.58,0.01,Receive,Reward
2023-01-09 01:00,AXS,0.00,6.87,0.02,Receive,Reward
2023-01-09 01:00,BNB,0.00,255.64,0.00,Receive,Reward
2023-01-09 01:00,ETH,0.00,1238.52,0.00,Receive,Reward
2023-01-09 01:00,SOL,0.00,15.26,0.01,Receive,Reward
2023-01-09 01:00,ADA,0.12,0.30,0.04,Receive,Reward
2023-01-09 01:00,ADA,0.25,0.30,0.07,Receive,Reward
2023-01-09 01:00,AVAX,0.00,11.43,0.00,Receive,Reward
2023-01-09 01:00,AAVE,0.00,57.27,0.00,Receive,Reward
2023-01-09 01:00,BTC,0.00,16117.60,0.02,Receive,Reward
2023-01-09 01:00,AXS,0.00,6.87,0.01,Receive,Reward
2023-01-09 01:00,DOT,0.00,4.58,0.00,Receive,Reward
2023-01-09 01:00,SHIB,0.88,0.00,0.00,Receive,Reward
2023-01-09 01:00,BNB,0.00,255.78,0.01,Receive,Reward
2023-01-09 01:00,ADA,0.00,0.30,0.00,Receive,Reward
2023-01-09 01:00,BUSD,0.13,0.94,0.13,Receive,Reward
2023-01-09 01:00,DOT,0.00,4.58,0.01,Receive,Reward
2023-01-09 01:00,DOT,0.01,4.58,0.04,Receive,Reward
2023-01-09 01:00,ADA,0.09,0.30,0.03,Receive,Reward
2023-01-09 01:00,MATIC,0.01,0.79,0.01,Receive,Reward
2023-01-09 01:00,DOT,0.01,4.58,0.03,Receive,Reward
2023-01-09 01:00,ADA,0.02,0.30,0.01,Receive,Reward
2023-01-09 01:00,MATIC,0.00,0.78,0.00,Receive,Reward
2023-01-09 07:01,BNB,0.00,255.77,0.52,Receive,Reward
2023-01-09 09:01,BETH,0.00,1204.10,0.07,Receive,Reward
2023-01-10 01:00,BUSD,0.13,0.93,0.13,Receive,Reward
2023-01-10 01:00,BTC,0.00,16265.54,0.02,Receive,Reward
2023-01-10 01:00,SHIB,38.38,0.00,0.00,Receive,Reward
2023-01-10 01:00,DOT,0.00,4.61,0.00,Receive,Reward
2023-01-10 01:00,DOT,0.01,4.59,0.03,Receive,Reward
2023-01-10 01:00,ADA,0.25,0.30,0.08,Receive,Reward
2023-01-10 01:00,SOL,0.01,15.12,0.08,Receive,Reward
2023-01-10 01:00,XRP,0.01,0.33,0.00,Receive,Reward
2023-01-10 01:00,MATIC,0.00,0.80,0.00,Receive,Reward
2023-01-10 01:00,DOT,0.00,4.59,0.01,Receive,Reward
2023-01-10 01:00,DOT,0.00,4.59,0.01,Receive,Reward
2023-01-10 01:00,ADA,0.09,0.30,0.03,Receive,Reward
2023-01-10 01:00,BNB,0.00,258.59,0.00,Receive,Reward
2023-01-10 01:00,ADA,0.02,0.30,0.01,Receive,Reward
2023-01-10 01:00,MATIC,0.01,0.80,0.01,Receive,Reward
2023-01-10 01:00,SOL,0.00,15.12,0.01,Receive,Reward
2023-01-10 01:00,BNB,0.00,258.59,0.01,Receive,Reward
2023-01-10 01:00,USDT,0.02,0.93,0.02,Receive,Reward
2023-01-10 01:00,ALGO,0.00,0.19,0.00,Receive,Reward
2023-01-10 01:00,AVAX,0.00,11.87,0.00,Receive,Reward
2023-01-10 01:00,MATIC,0.00,0.80,0.00,Receive,Reward
2023-01-10 01:00,ADA,0.00,0.30,0.00,Receive,Reward
2023-01-10 01:00,SAND,0.00,0.48,0.00,Receive,Reward
2023-01-10 01:00,AXS,0.04,6.98,0.27,Receive,Reward
2023-01-10 01:00,DOT,0.01,4.59,0.04,Receive,Reward
2023-01-10 01:00,BNB,0.00,258.60,0.01,Receive,Reward
2023-01-10 01:00,AXS,0.00,6.98,0.02,Receive,Reward
2023-01-10 01:00,DOGE,0.04,0.07,0.00,Receive,Reward
2023-01-10 01:00,SHIB,0.88,0.00,0.00,Receive,Reward
2023-01-10 01:00,AXS,0.00,6.98,0.01,Receive,Reward
2023-01-10 01:00,ADA,0.12,0.30,0.04,Receive,Reward
2023-01-10 01:00,AAVE,0.00,57.76,0.00,Receive,Reward
2023-01-10 01:00,ETH,0.00,1245.31,0.00,Receive,Reward
2023-01-10 01:00,LTC,0.00,75.38,0.00,Receive,Reward
2023-01-10 01:00,GAL,0.00,0.00,0.00,Receive,Reward
2023-01-10 01:00,SOL,0.00,15.12,0.01,Receive,Reward
2023-01-10 07:01,BNB,0.00,258.60,1.03,Receive,Reward
2023-01-10 09:01,BETH,0.00,1214.65,0.07,Receive,Reward
2023-01-11 01:00,DOT,0.00,4.78,0.01,Receive,Reward
2023-01-11 01:00,AXS,0.00,6.99,0.01,Receive,Reward
2023-01-11 01:00,MATIC,0.00,0.83,0.00,Receive,Reward
2023-01-11 01:00,SOL,0.00,15.24,0.01,Receive,Reward
2023-01-11 01:00,AAVE,0.00,59.82,0.00,Receive,Reward
2023-01-11 01:00,DOGE,0.02,0.07,0.00,Receive,Reward
2023-01-11 01:00,BTC,0.00,16699.88,0.02,Receive,Reward
2023-01-11 01:00,DOT,0.01,4.78,0.04,Receive,Reward
2023-01-11 01:00,DOT,0.00,4.79,0.00,Receive,Reward
